snapshot_date,target_key,target_label,strike_count,chart_title,metric_key,source_page_url,dashboard_url,scraped_at_local,scraped_at_utc
2026-03-11,airports,Airports,5,Key Target Strikes in Middle East,key_target_strikes_middle_east,https://www.inss.org.il/publication/lions-roar-data/,https://app.powerbi.com/view?r=eyJrIjoiYmI3MzIzMTAtMTdjNC00NTY1LWFiM2YtNjI0NTk5MWEyYTI5IiwidCI6IjgwOGNmNGIzLTFhOTYtNDEzZi1iMDZiLTlkZTZjOThmNTQ2OSJ9,2026-03-11T16:00:25+02:00,2026-03-11T14:00:25+00:00
2026-03-11,data_centers,Data Centers,3,Key Target Strikes in Middle East,key_target_strikes_middle_east,https://www.inss.org.il/publication/lions-roar-data/,https://app.powerbi.com/view?r=eyJrIjoiYmI3MzIzMTAtMTdjNC00NTY1LWFiM2YtNjI0NTk5MWEyYTI5IiwidCI6IjgwOGNmNGIzLTFhOTYtNDEzZi1iMDZiLTlkZTZjOThmNTQ2OSJ9,2026-03-11T16:00:25+02:00,2026-03-11T14:00:25+00:00
2026-03-11,foreign_missions,Foreign Missions,4,Key Target Strikes in Middle East,key_target_strikes_middle_east,https://www.inss.org.il/publication/lions-roar-data/,https://app.powerbi.com/view?r=eyJrIjoiYmI3MzIzMTAtMTdjNC00NTY1LWFiM2YtNjI0NTk5MWEyYTI5IiwidCI6IjgwOGNmNGIzLTFhOTYtNDEzZi1iMDZiLTlkZTZjOThmNTQ2OSJ9,2026-03-11T16:00:25+02:00,2026-03-11T14:00:25+00:00
2026-03-11,gas_facilities,Gas Facilities,1,Key Target Strikes in Middle East,key_target_strikes_middle_east,https://www.inss.org.il/publication/lions-roar-data/,https://app.powerbi.com/view?r=eyJrIjoiYmI3MzIzMTAtMTdjNC00NTY1LWFiM2YtNjI0NTk5MWEyYTI5IiwidCI6IjgwOGNmNGIzLTFhOTYtNDEzZi1iMDZiLTlkZTZjOThmNTQ2OSJ9,2026-03-11T16:00:25+02:00,2026-03-11T14:00:25+00:00
2026-03-11,hotels,Hotels,4,Key Target Strikes in Middle East,key_target_strikes_middle_east,https://www.inss.org.il/publication/lions-roar-data/,https://app.powerbi.com/view?r=eyJrIjoiYmI3MzIzMTAtMTdjNC00NTY1LWFiM2YtNjI0NTk5MWEyYTI5IiwidCI6IjgwOGNmNGIzLTFhOTYtNDEzZi1iMDZiLTlkZTZjOThmNTQ2OSJ9,2026-03-11T16:00:25+02:00,2026-03-11T14:00:25+00:00
2026-03-11,oil_facilities,Oil Facilities,2,Key Target Strikes in Middle East,key_target_strikes_middle_east,https://www.inss.org.il/publication/lions-roar-data/,https://app.powerbi.com/view?r=eyJrIjoiYmI3MzIzMTAtMTdjNC00NTY1LWFiM2YtNjI0NTk5MWEyYTI5IiwidCI6IjgwOGNmNGIzLTFhOTYtNDEzZi1iMDZiLTlkZTZjOThmNTQ2OSJ9,2026-03-11T16:00:25+02:00,2026-03-11T14:00:25+00:00
2026-03-11,ports,Ports,3,Key Target Strikes in Middle East,key_target_strikes_middle_east,https://www.inss.org.il/publication/lions-roar-data/,https://app.powerbi.com/view?r=eyJrIjoiYmI3MzIzMTAtMTdjNC00NTY1LWFiM2YtNjI0NTk5MWEyYTI5IiwidCI6IjgwOGNmNGIzLTFhOTYtNDEzZi1iMDZiLTlkZTZjOThmNTQ2OSJ9,2026-03-11T16:00:25+02:00,2026-03-11T14:00:25+00:00
2026-03-11,radar,Radar,6,Key Target Strikes in Middle East,key_target_strikes_middle_east,https://www.inss.org.il/publication/lions-roar-data/,https://app.powerbi.com/view?r=eyJrIjoiYmI3MzIzMTAtMTdjNC00NTY1LWFiM2YtNjI0NTk5MWEyYTI5IiwidCI6IjgwOGNmNGIzLTFhOTYtNDEzZi1iMDZiLTlkZTZjOThmNTQ2OSJ9,2026-03-11T16:00:25+02:00,2026-03-11T14:00:25+00:00
2026-03-11,satellite_communications,Satellite Communications,4,Key Target Strikes in Middle East,key_target_strikes_middle_east,https://www.inss.org.il/publication/lions-roar-data/,https://app.powerbi.com/view?r=eyJrIjoiYmI3MzIzMTAtMTdjNC00NTY1LWFiM2YtNjI0NTk5MWEyYTI5IiwidCI6IjgwOGNmNGIzLTFhOTYtNDEzZi1iMDZiLTlkZTZjOThmNTQ2OSJ9,2026-03-11T16:00:25+02:00,2026-03-11T14:00:25+00:00
2026-03-11,us_military_bases,US Military Bases,13,Key Target Strikes in Middle East,key_target_strikes_middle_east,https://www.inss.org.il/publication/lions-roar-data/,https://app.powerbi.com/view?r=eyJrIjoiYmI3MzIzMTAtMTdjNC00NTY1LWFiM2YtNjI0NTk5MWEyYTI5IiwidCI6IjgwOGNmNGIzLTFhOTYtNDEzZi1iMDZiLTlkZTZjOThmNTQ2OSJ9,2026-03-11T16:00:25+02:00,2026-03-11T14:00:25+00:00
